order_id,customer_name,email,phone,city,state,product_name,category,unit_price,quantity,order_date,status
1210,Jennifer Wilson,JENNIFER.WILSON29@YAHOO.COM,(692) 418-7570,Philadelphia,PA,wireless mouse,electronics,19.99,1,21-11-2023,Pending
1527,patricia kelly,Patricia.kelly134@yahoo.com,+16822256374,Chicago,IL,Notebook Set,Office Supplies,8.99,2,2024-04-25,Pending
1654,michael garcia,MICHAEL.GARCIA170@COMPANY.CO ,3569782234,San Diego,CA,Yoga Mat,Fitness,24.0,2,2023-03-15,Cancelled
1508,William Brown,WILLIAM.BROWN163@YAHOO.COM ,709-964-8055,New York,NY,Standing Desk,Furniture,249.0,3,8/13/23,delivered
1466, Richard Silva ,N/A,2074095938,New York,NY,Stainless Water Bottle,Fitness,15.75,1,9/21/2023,SHIPPED
1332,wei johnson,Wei.johnson178@gmail.com ,862.542.2079,Dallas,TX,USB-C Cable 6ft,Electronics,9.5,2,8/13/2023,Delivered
1227,FATIMA PATEL,FATIMA.PATEL88@YAHOO.COM,489.302.4180,San Diego,CA,Ballpoint Pens (12pk),Office Supplies,6.49,2,12/4/24,cancelled
1079,william davis,William.Davis35@outlook.com,6053345915,Houston,TX,Standing Desk,Furniture,249.0,5,2023-09-21,shipped
1147, Fatima Rodriguez ,FATIMA.RODRIGUEZ80@YAHOO.COM ,4512885569,houston,TX,Bluetooth Speaker,Electronics,45.0,3,5/8/2023,SHIPPED
1107,JOSEPH SMITH, Joseph.smith16@gmail.com,9364699201,Austin ,TX,Notebook Set,Office Supplies,8.99,1,2024-06-07,delivered
1089,susan anderson,SUSAN.ANDERSON96@YAHOO.COM ,(808) 681-5771,Austin ,TX,Bluetooth Speaker,Electronics,45.0,2,2023-10-10,shipped
1027,WILLIAM BROWN,WILLIAM.BROWN163@YAHOO.COM ,709-964-8055,New York,NY,USB-C Cable 6ft,Electronics,9.5,3,4/26/2023,Cancelled
1069, Richard Gonzalez ,Richard.gonzalez14@gmail.com ,+16797415119,San Diego,CA,USB-C Cable 6ft,Electronics,9.5,5,19-12-2024,Delivered
1234, Noah Khan ,Noah.Khan39@outlook.com ,,Los Angeles,CA,Wireless Mouse,Electronics,19.99,2,11/20/24,Pending
1645,Michael Rodriguez,Michael.Rodriguez95@gmail.com,283-360-4929,Dallas,TX,Yoga Mat,Fitness,24.0,2,01-07-2023,Delivered
1599,SUSAN ANDERSON,SUSAN.ANDERSON96@YAHOO.COM ,(808) 681-5771,Austin ,TX,Stainless Water Bottle,Fitness,15.75,1,8/2/24,shipped
1609,JESSICA ANDERSON,JESSICA.ANDERSON84@YAHOO.COM ,2955014630,New York,NY,Standing Desk,Furniture,249.0,4,27-03-2023,Shipped
1411, Patricia Kelly ,PATRICIA.KELLY15@OUTLOOK.COM,(968) 473-6573,San Antonio,TX,Bluetooth Speaker,Electronics,45.0,4,5/27/2024,Cancelled
1003,JENNIFER WILLIAMS, Jennifer.williams124@company.co,,Philadelphia,PA,Yoga Mat,Fitness,24.0,2,2023-02-10,Pending
1295, Priya Patel ,Priya.patel32@gmail.com,,Los Angeles,CA,Standing Desk,Furniture,249.0,2,2024-04-06,shipped
1424,Robert Martinez,Robert.Martinez173@outlook.com ,662.238.1932,Philadelphia,PA,Bluetooth Speaker,Electronics,45.0,3,2023-06-27,SHIPPED
1484,Susan Kelly,Susan.kelly34@yahoo.com ,778.735.6183,San Diego,CA,Wireless Mouse,Electronics,19.99,1,8/22/2023,cancelled
1222,BARBARA MURPHY, Barbara.Murphy48@gmail.com,609.895.9785,San Antonio,TX,wireless mouse,electronics,19.99,4,2024-04-23,cancelled
1653, Mary Hernandez ,Mary.Hernandez10@outlook.com ,+14742674456,Phoenix,AZ,Desk Lamp,Furniture,22.3,4,28-04-2024,Delivered
1391, Priya Patel ,Priya.patel32@gmail.com,258-720-2312,Los Angeles,CA,Yoga  Mat,Fitness,24.0,1,2024-01-23,delivered
1149, Richard Rodriguez ,RICHARD.RODRIGUEZ30@YAHOO.COM,492-633-8973,Philadelphia,PA,wireless mouse,electronics,19.99,2,4/27/2024,shipped
1164,Priya Martinez,PRIYA.MARTINEZ146@COMPANY.CO ,8582311996,Philadelphia,PA,Bluetooth Speaker,Electronics,45.0,5,2023-10-11,Cancelled
1417, Richard Gonzalez ,Richard.gonzalez14@gmail.com ,6797415119,San Diego,CA,Ballpoint Pens (12pk),Office Supplies,6.49,1,27-02-2024,Delivered
1657,Arjun Kelly,Arjun.Kelly51@company.co ,959.954.4228,Austin ,TX,Yoga  Mat,Fitness,24.0,4,7/13/23,Cancelled
1324, Michael Rodriguez ,Michael.Rodriguez95@gmail.com,283-360-4929,Dallas,TX,Bluetooth Speaker,Electronics,45.0,4,10/18/23,delivered
1294, Wei Kelly ,WEI.KELLY81@YAHOO.COM,544.229.9098,Phoenix,AZ,Ballpoint Pens (12pk),Office Supplies,6.49,3,5/15/24,cancelled
1310,Susan Khan,SUSAN.KHAN42@GMAIL.COM ,3142773442,New York,NY,Yoga  Mat,Fitness,24.0,5,4/1/23,SHIPPED
1456,OLIVIA WILLIAMS, Olivia.Williams6@yahoo.com,8774335741,New York,NY,Bluetooth Speaker,Electronics,45.0,5,2024-06-03,Delivered
1131,Priya Khan, Priya.khan61@company.co,+15249738251,San Diego,CA,Office Chair,Furniture,129.99,4,2023-08-21,Pending
